Code,ZipLow,ZipHigh
AR,1917,1917
AR,1919,1919
AR,1921,1921
AR,1986,1987
AR,2101,2111
AR,2113,2113
AR,2115,2115
AR,2117,2117
AR,2119,2120
AR,2122,2123
AR,2128,2129
AR,2134,2134
AR,2136,2136
AR,2138,2138
AR,2142,2144
AR,2146,2150
AR,2172,2175
AR,2177,2177
AR,2179,2179
AR,2181,2181
AR,2183,2185
AR,2187,2187
AR,2189,2189
AR,2201,2202
AR,2204,2204
AR,2206,2206
AR,2208,2208
AR,2212,2212
AR,2214,2214
AR,2216,2216
AR,2218,2218
AR,2240,2240
AR,2242,2243
AR,2246,2246
AR,2248,2248
AR,2252,2253
AR,2258,2258
AR,2301,2303
AR,2307,2307
AR,2309,2309
AR,2313,2313
AR,2317,2317
AR,2322,2322
AR,2326,2326
AR,2340,2340
AR,2344,2345
AR,2347,2347
AR,2349,2349
AR,2352,2352
AR,2356,2356
AR,2405,2409
AR,2413,2417
AR,2419,2421
AR,2424,2426
AR,2428,2428
AR,2432,2438
AR,2440,2440
AR,2445,2445
AR,2447,2447
AR,2449,2449
AR,2451,2454
AR,2500,2501
AR,2503,2503
AR,2505,2506
AR,2508,2508
AR,2512,2512
AR,2520,2521
AR,2525,2525
AR,2527,2527
AR,2529,2529
AR,2531,2531
AR,2533,2533
AR,2535,2535
AR,2550,2550
AR,2553,2553
AR,2555,2555
AR,2557,2557
AR,2559,2560
AR,2563,2563
AR,2566,2566
AR,2568,2568
AR,2572,2572
AR,2580,2581
AR,2583,2583
AR,2585,2585
AR,2587,2587
AR,2589,2589
AR,2592,2592
AR,2594,2594
AR,2601,2601
AR,2603,2603
AR,2605,2605
AR,2607,2607
AR,2609,2609
AR,2613,2613
AR,2615,2615
AR,2617,2618
AR,2622,2622
AR,2624,2625
AR,2627,2627
AR,2630,2630
AR,2633,2633
AR,2635,2635
AR,2637,2639
AR,2643,2647
AR,2650,2650
AR,2655,2655
AR,2657,2657
AR,2659,2659
AR,2661,2662
AR,2670,2673
AR,2675,2675
AR,2677,2677
AR,2679,2679
AR,2681,2681
AR,2686,2686
AR,2700,2700
AR,2703,2703
AR,2715,2718
AR,2720,2720
AR,2722,2723
AR,2725,2726
AR,2728,2729
AR,2732,2732
AR,2740,2741
AR,2745,2745
AR,2752,2752
AR,2760,2760
AR,2801,2801
AR,2803,2803
AR,2823,2823
AR,2826,2826
AR,2840,2840
AR,2845,2845
AR,2854,2854
AR,2900,2901
AR,2903,2903
AR,2905,2905
AR,2907,2907
AR,2909,2909
AR,2912,2912
AR,2914,2919
AR,2930,2931
AR,2933,2933
AR,2935,2935
AR,2938,2938
AR,2943,2944
AR,2946,2946
AR,3001,3005
AR,3008,3014
AR,3016,3020
AR,3023,3025
AR,3027,3027
AR,3032,3032
AR,3036,3038
AR,3040,3040
AR,3042,3044
AR,3048,3048
AR,3050,3050
AR,3054,3054
AR,3056,3056
AR,3060,3060
AR,3064,3064
AR,3070,3070
AR,3082,3082
AR,3085,3085
AR,3087,3088
AR,3101,3105
AR,3107,3107
AR,3109,3109
AR,3114,3114
AR,3116,3118
AR,3122,3122
AR,3127,3127
AR,3133,3134
AR,3142,3142
AR,3150,3150
AR,3153,3153
AR,3158,3158
AR,3162,3162
AR,3164,3164
AR,3170,3170
AR,3172,3172
AR,3174,3174
AR,3176,3177
AR,3180,3180
AR,3185,3185
AR,3187,3187
AR,3190,3190
AR,3192,3192
AR,3196,3197
AR,3201,3201
AR,3206,3206
AR,3212,3213
AR,3216,3216
AR,3218,3218
AR,3220,3220
AR,3224,3224
AR,3226,3226
AR,3228,3232
AR,3234,3234
AR,3240,3240
AR,3244,3244
AR,3260,3260
AR,3262,3262
AR,3265,3265
AR,3272,3273
AR,3280,3280
AR,3283,3284
AR,3287,3287
AR,3302,3304
AR,3306,3306
AR,3308,3308
AR,3313,3318
AR,3322,3322
AR,3324,3329
AR,3331,3335
AR,3340,3340
AR,3342,3342
AR,3344,3344
AR,3346,3346
AR,3350,3350
AR,3355,3355
AR,3357,3358
AR,3360,3362
AR,3364,3366
AR,3370,3370
AR,3374,3376
AR,3378,3378
AR,3380,3381
AR,3384,3385
AR,3403,3403
AR,3414,3414
AR,3416,3416
AR,3418,3418
AR,3420,3420
AR,3423,3423
AR,3432,3432
AR,3440,3440
AR,3443,3443
AR,3450,3450
AR,3460,3460
AR,3470,3470
AR,3476,3477
AR,3503,3504
AR,3507,3507
AR,3509,3509
AR,3514,3514
AR,3516,3516
AR,3518,3519
AR,3526,3526
AR,3530,3530
AR,3534,3536
AR,3540,3540
AR,3545,3545
AR,3550,3550
AR,3555,3555
AR,3560,3561
AR,3572,3572
AR,3574,3575
AR,3580,3581
AR,3586,3586
AR,3603,3604
AR,3606,3606
AR,3608,3608
AR,3610,3610
AR,3620,3620
AR,3624,3624
AR,3626,3626
AR,3630,3630
AR,3700,3701
AR,3703,3703
AR,3705,3705
AR,3711,3712
AR,3716,3716
AR,3718,3718
AR,3722,3722
AR,3730,3730
AR,3732,3733
AR,3740,3740
AR,3760,3761
AR,3763,3763
AR,4103,4103
AR,4105,4105
AR,4107,4109
AR,4111,4111
AR,4119,4119
AR,4122,4122
AR,4124,4124
AR,4128,4129
AR,4132,4134
AR,4137,4137
AR,4139,4139
AR,4142,4142
AR,4144,4146
AR,4152,4158
AR,4162,4162
AR,4168,4168
AR,4172,4172
AR,4176,4176
AR,4178,4182
AR,4190,4190
AR,4203,4203
AR,4208,4208
AR,4220,4220
AR,4230,4230
AR,4300,4300
AR,4308,4308
AR,4312,4312
AR,4322,4322
AR,4324,4326
AR,4332,4332
AR,4350,4350
AR,4354,4354
AR,4399,4399
AR,4401,4401
AR,4403,4403
AR,4405,4405
AR,4407,4407
AR,4411,4411
AR,4421,4423
AR,4427,4427
AR,4430,4430
AR,4432,4432
AR,4440,4440
AR,4444,4444
AR,4448,4449
AR,4500,4500
AR,4503,4503
AR,4506,4506
AR,4512,4514
AR,4522,4522
AR,4530,4535
AR,4550,4550
AR,4554,4554
AR,4560,4560
AR,4562,4562
AR,4566,4566
AR,4568,4569
AR,4582,4582
AR,4606,4609
AR,4612,4614
AR,4622,4622
AR,4624,4624
AR,4630,4630
AR,4634,4635
AR,4650,4650
AR,4701,4701
AR,4707,4709
AR,4715,4715
AR,4718,4718
AR,4724,4724
AR,4728,4728
AR,4740,4740
AR,4750,4750
AR,5101,5101
AR,5104,5104
AR,5111,5111
AR,5113,5113
AR,5116,5117
AR,5119,5119
AR,5121,5122
AR,5124,5130
AR,5133,5133
